algoritmo,fitness
HC,457.000000
HC,490.000000
HC,424.000000
HC,471.000000
HC,448.000000
HC,414.000000
HC,494.000000
HC,483.000000
HC,442.000000
HC,451.000000
HC,472.000000
HC,493.000000
HC,502.000000
HC,510.000000
HC,478.000000
HC,389.000000
HC,482.000000
HC,504.000000
HC,515.000000
HC,461.000000
HC,317.000000
HC,365.000000
HC,443.000000
HC,478.000000
HC,489.000000
HC,430.000000
HC,530.000000
HC,461.000000
HC,537.000000
HC,489.000000
SHC,419.000000
SHC,433.000000
SHC,344.000000
SHC,423.000000
SHC,395.000000
SHC,411.000000
SHC,435.000000
SHC,435.000000
SHC,333.000000
SHC,396.000000
SHC,453.000000
SHC,394.000000
SHC,350.000000
SHC,441.000000
SHC,343.000000
SHC,377.000000
SHC,409.000000
SHC,438.000000
SHC,485.000000
SHC,459.000000
SHC,325.000000
SHC,414.000000
SHC,425.000000
SHC,376.000000
SHC,469.000000
SHC,405.000000
SHC,415.000000
SHC,313.000000
SHC,410.000000
SHC,370.000000
